Start Time Sub A (s),End Time Sub A (s),Delay Sub A (ms),Start Time Sub B,End Time Sub B,Delay Sub B (ms)
42.446,42.459,13,42.447,42.481,34
42.615,42.637,22,42.616,42.659,43
42.831,42.848,17,42.831,42.872,41
43.013,43.033,20,43.013,43.047,34
43.187,43.199,12,43.187,43.215,28
43.338,43.353,15,43.338,43.364,26
43.499,43.517,18,43.499,43.53,31
43.667,43.686,19,43.667,43.697,30
43.825,43.84,15,43.825,43.852,27
44.014,44.05,36,44.015,44.032,17
44.184,44.205,21,44.185,44.22,35
44.376,44.395,19,44.376,44.409,33
44.535,44.549,14,44.535,44.561,26
44.691,44.703,12,44.691,44.719,28
44.86,44.877,17,44.86,44.894,34
45.03,45.052,22,45.034,45.069,35
45.22,45.237,17,45.221,45.249,28
45.356,45.368,12,45.357,45.384,27
45.486,45.499,13,45.487,45.51,23
45.638,45.651,13,45.638,45.672,34
45.828,45.854,26,45.836,45.873,37
46.02,46.037,17,46.024,46.05,26
46.186,46.203,17,46.187,46.223,36
46.345,46.358,13,46.345,46.372,27
46.487,46.502,15,46.488,46.516,28
46.639,46.653,14,46.639,46.668,29
46.791,46.802,11,46.791,46.821,30
46.936,46.953,17,46.936,46.968,32
47.098,47.113,15,47.098,47.126,28
47.25,47.27,20,47.251,47.28,29
47.415,47.435,20,47.415,47.451,36
47.615,47.629,14,47.615,47.647,32
47.792,47.806,14,47.792,47.821,29
47.951,47.962,11,47.951,47.978,27
48.106,48.14,34,48.108,48.124,16
48.293,48.309,16,48.293,48.32,27
48.442,48.466,24,48.443,48.477,34
48.635,48.664,29,48.635,48.653,18
48.783,48.801,18,48.783,48.812,29
48.961,48.996,35,48.961,48.982,21
49.126,49.142,16,49.127,49.158,31
49.269,49.284,15,49.27,49.299,29
49.431,49.448,17,49.431,49.466,35
49.611,49.625,14,49.612,49.639,27
49.757,49.768,11,49.758,49.78,22
49.913,49.926,13,49.913,49.938,25
50.079,50.1,21,50.079,50.113,34
50.255,50.267,12,50.255,50.281,26
50.41,50.427,17,50.411,50.438,27
50.569,50.584,15,50.569,50.597,28
50.734,50.751,17,50.734,50.766,32
50.873,50.891,18,50.874,50.908,34
51.058,51.095,37,51.059,51.084,25
51.236,51.255,19,51.239,51.265,26
51.403,51.42,17,51.403,51.435,32
51.598,51.611,13,51.598,51.624,26
51.8,51.816,16,51.8,51.829,29
51.944,51.955,11,51.944,51.964,20
52.077,52.092,15,52.078,52.103,25
52.272,52.284,12,52.273,52.301,28
52.455,52.48,25,52.455,52.466,11
52.627,52.644,17,52.628,52.655,27
52.775,52.797,22,52.776,52.815,39
52.929,52.961,32,52.932,52.974,42
53.107,53.122,15,53.107,53.135,28
53.259,53.272,13,53.259,53.287,28
53.426,53.439,13,53.427,53.452,25
53.611,53.628,17,53.612,53.646,34
53.774,53.787,13,53.775,53.803,28
53.915,53.931,16,53.915,53.945,30
54.075,54.092,17,54.076,54.105,29
54.255,54.276,21,54.256,54.3,44
54.435,54.459,24,54.439,54.474,35
54.591,54.612,21,54.592,54.625,33
54.729,54.741,12,54.729,54.759,30
54.886,54.906,20,54.887,54.916,29
55.032,55.047,15,55.032,55.061,29
55.171,55.19,19,55.172,55.203,31
55.322,55.333,11,55.322,55.344,22
55.452,55.464,12,55.452,55.476,24
55.596,55.607,11,55.596,55.616,20
55.756,55.78,24,55.756,55.797,41
55.917,55.941,24,55.919,55.954,35
56.098,56.119,21,56.099,56.13,31
56.293,56.308,15,56.293,56.326,33
56.477,56.494,17,56.477,56.507,30
56.67,56.693,23,56.67,56.713,43
56.875,56.891,16,56.875,56.903,28
57.044,57.061,17,57.044,57.073,29
57.244,57.257,13,57.244,57.271,27
57.4,57.413,13,57.4,57.425,25
57.539,57.553,14,57.54,57.568,28
57.827,57.866,39,57.828,57.908,80
58.247,58.29,43,58.249,58.33,81
58.667,58.687,20,58.668,58.712,44
58.911,58.946,35,58.912,58.966,54
59.148,59.17,22,59.149,59.187,38
59.406,59.425,19,59.407,59.451,44
59.634,59.677,43,59.635,59.695,60
59.888,59.905,17,59.888,59.931,43
0.112,0.138,26,0.113,0.157,44
0.328,0.344,16,0.328,0.361,33
0.536,0.553,17,0.537,0.568,31
0.747,0.764,17,0.747,0.782,35
0.947,0.985,38,0.948,0.967,19
1.168,1.194,26,1.168,1.211,43
1.383,1.404,21,1.383,1.424,41
1.601,1.62,19,1.602,1.644,42
1.804,1.822,18,1.805,1.843,38
2.011,2.03,19,2.011,2.047,36
2.2,2.225,25,2.201,2.246,45
2.399,2.417,18,2.399,2.438,39
2.626,2.646,20,2.626,2.659,33
2.85,2.881,31,2.852,2.903,51
3.113,3.135,22,3.113,3.158,45
3.351,3.395,44,3.352,3.373,21
3.592,3.628,36,3.593,3.656,63
3.893,3.92,27,3.894,3.941,47
4.148,4.171,23,4.149,4.196,47
4.355,4.373,18,4.356,4.395,39
4.557,4.574,17,4.557,4.59,33
4.754,4.775,21,4.756,4.792,36
4.944,4.961,17,4.945,4.984,39
5.183,5.208,25,5.183,5.227,44
5.459,5.477,18,5.459,5.503,44
5.737,5.763,26,5.738,5.778,40
5.978,6,22,5.978,6.017,39
6.213,6.245,32,6.214,6.266,52
6.467,6.509,42,6.467,6.487,20
6.685,6.711,26,6.686,6.738,52
6.94,6.961,21,6.94,6.979,39
7.165,7.189,24,7.166,7.21,44
7.379,7.395,16,7.379,7.418,39
7.647,7.69,43,7.648,7.666,18
7.849,7.867,18,7.85,7.885,35
8.066,8.083,17,8.066,8.1,34
8.292,8.313,21,8.293,8.343,50
8.543,8.562,19,8.543,8.583,40
8.779,8.8,21,8.78,8.822,42
9.009,9.025,16,9.01,9.043,33
9.218,9.243,25,9.218,9.267,49
9.484,9.507,23,9.485,9.518,33
9.72,9.742,22,9.721,9.759,38
9.932,9.953,21,9.933,9.979,46
10.148,10.172,24,10.148,10.2,52
10.362,10.38,18,10.362,10.399,37
10.573,10.59,17,10.573,10.611,38
10.791,10.816,25,10.791,10.835,44
11.032,11.054,22,11.033,11.08,47
11.278,11.299,21,11.278,11.317,39
11.543,11.563,20,11.543,11.587,44
11.792,11.814,22,11.793,11.836,43
12.054,12.074,20,12.055,12.099,44
12.291,12.308,17,12.292,12.327,35
12.555,12.584,29,12.556,12.598,42
12.796,12.816,20,12.797,12.847,50
13.036,13.053,17,13.036,13.073,37
13.234,13.254,20,13.235,13.271,36
13.449,13.467,18,13.45,13.486,36
13.683,13.702,19,13.683,13.718,35
13.951,13.973,22,13.951,13.988,37
14.161,14.181,20,14.161,14.201,40
14.402,14.422,20,14.402,14.443,41
14.632,14.656,24,14.632,14.674,42
14.903,14.928,25,14.904,14.945,41
15.131,15.156,25,15.131,15.184,53
15.368,15.386,18,15.369,15.413,44
15.593,15.615,22,15.596,15.635,39
15.818,15.848,30,15.818,15.877,59
16.052,16.077,25,16.052,16.097,45
16.275,16.29,15,16.276,16.309,33
16.456,16.475,19,16.456,16.492,36
16.666,16.682,16,16.666,16.705,39
16.862,16.881,19,16.862,16.898,36
17.143,17.162,19,17.144,17.182,38
17.341,17.359,18,17.342,17.384,42
17.581,17.604,23,17.582,17.632,50
17.784,17.807,23,17.784,17.831,47
18.066,18.085,19,18.066,18.104,38
18.301,18.321,20,18.302,18.342,40
18.529,18.546,17,18.529,18.564,35
18.779,18.804,25,18.78,18.825,45
19.015,19.04,25,19.017,19.06,43
19.256,19.277,21,19.256,19.296,40
19.483,19.504,21,19.484,19.521,37
19.713,19.738,25,19.713,19.753,40
19.944,19.967,23,19.948,19.991,43
20.191,20.215,24,20.192,20.235,43
20.428,20.452,24,20.428,20.47,42
20.643,20.671,28,20.646,20.694,48
20.869,20.888,19,20.869,20.903,34
21.069,21.091,22,21.07,21.112,42
21.28,21.299,19,21.281,21.316,35
21.519,21.534,15,21.519,21.554,35
21.748,21.768,20,21.748,21.783,35
21.946,21.965,19,21.946,21.98,34
22.165,22.19,25,22.165,22.209,44
22.391,22.409,18,22.392,22.425,33
22.613,22.639,26,22.614,22.656,42
22.839,22.862,23,22.839,22.895,56
23.062,23.078,16,23.062,23.099,37
23.262,23.278,16,23.262,23.296,34
23.49,23.51,20,23.491,23.534,43
23.743,23.767,24,23.743,23.792,49
23.973,23.995,22,23.974,24.015,41
24.178,24.201,23,24.179,24.223,44
24.378,24.396,18,24.379,24.411,32
24.603,24.625,22,24.604,24.641,37
24.834,24.849,15,24.834,24.877,43
25.043,25.07,27,25.043,25.098,55
25.306,25.331,25,25.306,25.355,49
25.54,25.557,17,25.54,25.574,34
25.754,25.772,18,25.755,25.792,37
26.009,26.033,24,26.01,26.052,42
26.229,26.253,24,26.23,26.28,50
26.464,26.487,23,26.465,26.513,48
26.698,26.716,18,26.698,26.736,38
26.942,26.963,21,26.943,26.982,39
27.173,27.198,25,27.173,27.214,41
27.414,27.434,20,27.415,27.449,34
27.62,27.643,23,27.621,27.667,46
27.831,27.85,19,27.831,27.877,46
28.096,28.116,20,28.097,28.137,40
28.331,28.358,27,28.332,28.373,41
28.562,28.582,20,28.562,28.611,49
28.79,28.809,19,28.79,28.826,36
29.014,29.032,18,29.014,29.054,40
29.216,29.239,23,29.218,29.259,41
29.481,29.521,40,29.481,29.5,19
29.713,29.73,17,29.714,29.751,37
29.908,29.928,20,29.909,29.946,37
30.102,30.127,25,30.104,30.144,40
30.349,30.374,25,30.349,30.396,47
30.604,30.623,19,30.604,30.645,41
30.842,30.866,24,30.842,30.887,45
31.059,31.08,21,31.06,31.1,40
31.284,31.307,23,31.284,31.329,45
31.539,31.561,22,31.539,31.58,41
31.75,31.779,29,31.751,31.799,48
31.984,32.001,17,31.984,32.019,35
32.195,32.217,22,32.196,32.239,43
32.42,32.443,23,32.421,32.462,41
32.68,32.698,18,32.68,32.712,32
32.901,32.919,18,32.901,32.934,33
33.133,33.157,24,33.135,33.178,43
33.358,33.379,21,33.359,33.398,39
33.571,33.613,42,33.575,33.633,58
33.809,33.824,15,33.809,33.848,39
34.034,34.055,21,34.034,34.079,45
34.287,34.306,19,34.288,34.322,34
34.489,34.509,20,34.49,34.53,40
34.709,34.732,23,34.709,34.757,48
34.951,34.969,18,34.951,34.983,32
35.173,35.204,31,35.174,35.221,47
35.398,35.418,20,35.399,35.434,35
35.642,35.667,25,35.643,35.683,40
35.862,35.884,22,35.863,35.898,35
36.06,36.075,15,36.06,36.091,31
36.244,36.259,15,36.244,36.283,39
36.474,36.493,19,36.475,36.524,49
36.724,36.78,56,36.725,36.754,29
37.017,37.041,24,37.017,37.058,41
37.263,37.282,19,37.263,37.304,41
37.505,37.527,22,37.506,37.548,42
37.729,37.748,19,37.729,37.765,36
37.993,38.012,19,37.993,38.028,35
38.237,38.26,23,38.239,38.277,38
38.449,38.471,22,38.45,38.498,48
38.659,38.68,21,38.66,38.704,44
38.923,38.945,22,38.924,38.972,48
39.136,39.154,18,39.137,39.172,35
39.333,39.36,27,39.336,39.378,42
39.554,39.577,23,39.555,39.603,48
39.823,39.846,23,39.824,39.873,49
40.042,40.064,22,40.042,40.077,35
40.251,40.269,18,40.251,40.288,37
40.484,40.506,22,40.486,40.525,39
40.684,40.699,15,40.684,40.716,32
40.871,40.9,29,40.876,40.915,39
41.078,41.094,16,41.078,41.111,33
41.276,41.298,22,41.276,41.315,39
41.506,41.527,21,41.507,41.544,37
41.741,41.763,22,41.742,41.783,41
41.96,41.983,23,41.961,42.007,46
42.21,42.232,22,42.21,42.25,40
42.424,42.449,25,42.424,42.472,48
42.643,42.667,24,42.644,42.688,44
42.904,42.942,38,42.906,42.97,64
43.141,43.162,21,43.142,43.186,44
43.377,43.398,21,43.378,43.424,46
43.618,43.636,18,43.618,43.661,43
43.837,43.869,32,43.839,43.888,49
44.067,44.095,28,44.067,44.111,44
44.295,44.339,44,44.296,44.362,66
44.554,44.573,19,44.554,44.594,40
44.776,44.793,17,44.776,44.809,33
45.004,45.023,19,45.005,45.053,48
45.251,45.279,28,45.251,45.304,53
45.478,45.529,51,45.479,45.507,28
45.72,45.745,25,45.721,45.766,45
45.961,45.984,23,45.961,46.007,46
46.195,46.213,18,46.196,46.228,32
46.41,46.437,27,46.411,46.455,44
46.648,46.681,33,46.649,46.705,56
46.908,46.926,18,46.909,46.943,34
47.148,47.17,22,47.149,47.188,39
47.374,47.394,20,47.374,47.413,39
47.616,47.663,47,47.617,47.681,64
47.902,47.925,23,47.903,47.954,51
48.161,48.195,34,48.167,48.214,47
48.417,48.442,25,48.417,48.464,47
48.66,48.679,19,48.66,48.697,37
48.905,48.924,19,48.906,48.953,47
49.184,49.219,35,49.185,49.244,59
49.433,49.452,19,49.433,49.473,40
49.658,49.678,20,49.658,49.693,35
49.899,49.919,20,49.9,49.934,34
50.113,50.138,25,50.114,50.162,48
50.329,50.353,24,50.33,50.372,42
50.573,50.615,42,50.573,50.591,18
50.841,50.86,19,50.842,50.886,44
51.083,51.107,24,51.084,51.128,44
51.339,51.359,20,51.34,51.376,36
51.57,51.613,43,51.57,51.589,19
51.807,51.828,21,51.808,51.842,34
52.059,52.101,42,52.059,52.082,23
52.274,52.29,16,52.275,52.308,33
52.469,52.496,27,52.47,52.515,45
52.677,52.698,21,52.678,52.719,41
52.892,52.92,28,52.896,52.94,44
53.134,53.149,15,53.134,53.17,36
53.333,53.358,25,53.334,53.373,39
53.537,53.555,18,53.537,53.571,34
53.742,53.763,21,53.742,53.786,44
53.986,54.009,23,53.987,54.026,39
54.218,54.242,24,54.219,54.262,43
54.442,54.462,20,54.442,54.479,37
54.706,54.726,20,54.706,54.745,39
54.954,54.979,25,54.956,55.003,47
55.213,55.243,30,55.213,55.263,50
55.46,55.489,29,55.461,55.506,45
55.692,55.715,23,55.693,55.738,45
55.931,55.951,20,55.932,55.971,39
56.193,56.225,32,56.194,56.251,57
56.48,56.507,27,56.482,56.524,42
56.701,56.729,28,56.701,56.747,46
56.919,56.938,19,56.92,56.956,36
57.118,57.135,17,57.118,57.149,31
57.301,57.325,24,57.304,57.347,43
57.562,57.585,23,57.563,57.602,39
57.804,57.831,27,57.805,57.852,47
58.057,58.073,16,58.057,58.09,33
58.249,58.271,22,58.251,58.295,44
58.469,58.485,16,58.47,58.502,32
58.667,58.687,20,58.668,58.705,37
58.876,58.902,26,58.876,58.927,51
59.092,59.112,20,59.093,59.132,39
59.313,59.33,17,59.314,59.375,61
59.53,59.547,17,59.531,59.561,30
59.758,59.786,28,59.758,59.806,48
0.197,0.215,18,0.197,0.231,34
0.398,0.419,21,0.399,0.435,36
0.614,0.631,17,0.614,0.646,32
0.826,0.85,24,0.827,0.87,43
1.073,1.092,19,1.074,1.115,41
1.333,1.354,21,1.334,1.373,39
1.578,1.606,28,1.578,1.63,52
1.834,1.853,19,1.835,1.877,42
2.063,2.089,26,2.064,2.11,46
2.321,2.339,18,2.322,2.354,32
2.515,2.535,20,2.516,2.553,37
2.733,2.752,19,2.734,2.768,34
2.995,3.021,26,2.997,3.039,42
3.243,3.266,23,3.243,3.283,40
3.457,3.475,18,3.458,3.493,35
3.669,3.686,17,3.669,3.702,33
3.896,3.916,20,3.897,3.934,37
4.108,4.124,16,4.108,4.15,42
4.305,4.321,16,4.305,4.336,31
4.549,4.573,24,4.552,4.59,38
4.791,4.814,23,4.792,4.839,47
5.011,5.042,31,5.012,5.059,47
5.239,5.255,16,5.239,5.273,34
5.429,5.445,16,5.429,5.465,36
5.64,5.661,21,5.64,5.677,37
5.853,5.875,22,5.853,5.898,45
6.072,6.091,19,6.072,6.112,40
6.308,6.329,21,6.308,6.353,45
6.501,6.528,27,6.504,6.554,50
6.757,6.78,23,6.758,6.805,47
7.002,7.021,19,7.003,7.044,41
7.21,7.235,25,7.211,7.257,46
7.46,7.486,26,7.461,7.507,46
7.681,7.701,20,7.682,7.72,38
7.9,7.92,20,7.9,7.935,35
8.153,8.177,24,8.153,8.213,60
8.393,8.414,21,8.394,8.432,38
8.639,8.663,24,8.639,8.685,46
8.918,8.94,22,8.918,8.963,45
9.148,9.166,18,9.149,9.192,43
9.358,9.374,16,9.358,9.395,37
9.58,9.6,20,9.58,9.617,37
9.811,9.829,18,9.812,9.86,48
10.075,10.091,16,10.075,10.118,43
10.31,10.336,26,10.311,10.351,40
10.543,10.572,29,10.544,10.603,59
10.811,10.835,24,10.813,10.859,46
11.112,11.133,21,11.113,11.159,46
11.383,11.403,20,11.383,11.418,35
11.564,11.583,19,11.565,11.6,35
11.786,11.805,19,11.787,11.824,37
11.977,11.994,17,11.978,12.012,34
12.224,12.251,27,12.225,12.269,44
12.446,12.469,23,12.447,12.486,39
12.66,12.684,24,12.66,12.703,43
12.912,12.933,21,12.912,12.951,39
13.14,13.159,19,13.141,13.177,36
13.341,13.361,20,13.342,13.39,48
13.569,13.59,21,13.57,13.609,39
13.834,13.855,21,13.835,13.887,52
14.083,14.105,22,14.084,14.123,39
14.282,14.302,20,14.282,14.318,36
14.521,14.547,26,14.522,14.571,49
14.783,14.801,18,14.783,14.82,37
15.011,15.031,20,15.011,15.055,44
15.257,15.282,25,15.258,15.297,39
15.447,15.469,22,15.448,15.491,43
15.695,15.716,21,15.696,15.735,39
15.942,15.958,16,15.943,15.983,40
16.16,16.189,29,16.161,16.219,58
16.421,16.444,23,16.422,16.465,43
16.668,16.688,20,16.669,16.707,38
16.924,16.942,18,16.924,16.959,35
17.137,17.153,16,17.137,17.173,36
17.347,17.363,16,17.347,17.379,32
17.534,17.55,16,17.535,17.576,41
17.8,17.837,37,17.8,17.873,73
18.042,18.06,18,18.043,18.075,32
18.249,18.268,19,18.25,18.287,37
18.46,18.486,26,18.461,18.501,40
18.698,18.726,28,18.7,18.75,50
18.964,18.983,19,18.964,19.008,44
19.177,19.204,27,19.18,19.224,44
19.442,19.471,29,19.447,19.495,48
19.72,19.74,20,19.72,19.759,39
19.928,19.948,20,19.929,19.967,38
20.16,20.178,18,20.161,20.2,39
20.417,20.439,22,20.418,20.463,45
20.656,20.675,19,20.656,20.697,41
20.858,20.887,29,20.859,20.909,50
21.098,21.119,21,21.099,21.155,56
21.361,21.379,18,21.362,21.404,42
21.609,21.636,27,21.61,21.653,43
21.826,21.852,26,21.827,21.874,47
22.09,22.113,23,22.09,22.136,46
22.325,22.341,16,22.325,22.358,33
22.549,22.576,27,22.55,22.604,54
22.806,22.835,29,22.806,22.855,49
23.053,23.083,30,23.057,23.103,46
23.28,23.296,16,23.281,23.318,37
23.497,23.515,18,23.498,23.531,33
23.708,23.729,21,23.709,23.743,34
23.918,23.935,17,23.918,23.956,38
24.157,24.18,23,24.158,24.198,40
24.36,24.388,28,24.362,24.409,47
24.576,24.598,22,24.576,24.617,41
24.813,24.836,23,24.814,24.853,39
25.093,25.124,31,25.094,25.157,63
25.339,25.357,18,25.34,25.377,37
25.535,25.551,16,25.535,25.573,38
25.749,25.776,27,25.751,25.794,43
